Title,Organization,Course_duration,Course_clases,Course_level,Course_actual_price,Course_original_price
"Creación de personajes en Maya - The Bear
Maya para principiantes",Josefina Vecchietti,"23,5 horas en total",29 ,Principiante,"14,99 €","94,99 €"
"Rigging de personajes en Maya - Ratón
Rigging de personajes para animación con rigging facil avanzado",Ruth Cepero,"10,5 horas en total",14 ,Intermedio,"14,99 €","94,99 €"
"Personajes en Blender - Gato Japones
Complementado con Substance Painter",Marlon Ceballos,33 horas en total,17 ,Principiante,"14,99 €","19,99 €"
"Aprende a usar ENSCAPE en Revit
Aprovecha todo el potencial de este poderoso motor de render integrado con Revit para tus presentaciones de proyectos","Miguel Angel Soto, SDQ Training Center",42 minutos en total,7 ,Experto,"19,99 €",
"Curso de Canva para escritores
Nuevo curso Básico de Canva","Joel Combes, SDQ Training Center","1,5 horas en total",9 ,Todos los niveles,"14,99 €","29,99 €"
"DIALux EVO: Curso completo de DIALux EVO paso a paso (V11)
Curso completo del programa DIALux EVO paso a paso (Versión 11) Solicita un 50% de descuento --> Mira en la descripción",Daniel Nuñez,3 horas en total,9 ,Todos los niveles,"14,99 €","49,99 €"
"Diseño gráfico para principiantes
Conoce los secretos de los diseñadores profesionales para crear piezas gráficas sin la necesidad de usar canva",Libel Academy,"1,5 horas en total",22 ,Todos los niveles,"14,99 €","94,99 €"
"Rigging en MAYA para principiantes - Zombie
Introducción al rigging",Libel Academy,8 horas en total,12 ,Principiante,"14,99 €","94,99 €"
"Personajes en Blender - The Fisher
Aprende Blender desde cero",Libel Academy,"19,5 horas en total",29 ,Principiante,"14,99 €","94,99 €"
"Rigging de personajes en Maya - The Bear
Rigging para videojuegos llevado a Unreal Engine 5",Noel José Rojas Cabello,10 horas en total,13 ,Principiante,"14,99 €","94,99 €"
"Emprende tu negocio de Impresión 3D, SolidWorks, Canva
¡Aprende Modelado y Diseño 3D con productos reales, fabricación, plantillas y todo para empezar!",Alex Rojas,4 horas en total,23 ,Todos los niveles,"14,99 €","49,99 €"
"Curso The Foundry Nuke en ESPAÑOL - VFX Compositing
Basic Training Curso de composicion digital de video - Nuke101",Svetoslav Tihomirov,12 horas en total,30 ,Principiante,"14,99 €","39,99 €"
"Blender para principiantes - Nomo
Creación de personajes para publicidad",Johnny Mora,5 horas en total,6 ,Principiante,"14,99 €","94,99 €"
"Introducción al Modelado 3D con Blender
Aprende las bases del modelado 3D, creando 3 llamativos escenarios 3D con Blender",Libel Academy,"33,5 horas en total",264 ,Principiante,"14,99 €","49,99 €"
"Substance Painter para Principiantes - The Bear
Texturas en Substance Painter",Libel Academy,5 horas en total,8 ,Principiante,"14,99 €","19,99 €"
"Experto DecoACCIÓN Home Staging
Experto en Decoración y Home Staging",Libel Academy,"13,5 horas en total",129 ,Experto,"39,99 €",
"SolidWorks Motion- Crea animacione en SolidWorks
Anima tus proyectos en SolidWorks Motion",Ivan Andres Burgos Castro,"5,5 horas en total",28 ,Intermedio,"14,99 €","19,99 €"
"Ilustrando con Adobe Illustrator
Aprende a usar Adobe Illustrator para Ilustración vectorial",Fabrizio Vera,"3,5 horas en total",31 ,Intermedio,"14,99 €","19,99 €"
"Personajes en Blender - Elfa Hardsurface
Aprende escultura y hardsurface en Blender",Libel Academy,"32,5 horas en total",16 ,Intermedio,"14,99 €","39,99 €"
"Blender, Introducción a la creación de personajes 3D
Aprende con Blender el flujo de trabajo de creación de personajes para animación 3D o videojuegos.",Cisco Raya,"8,5 horas en total",43 ,Principiante,"14,99 €","39,99 €"
"Blender, Introducción al 3D
Aprende Blender desde cero. Desde el modelado hasta el render final.",Libel Academy,"14,5 horas en total",102 ,Principiante,"14,99 €","19,99 €"
"Iluminación en Maya con Arnold
Luces, Filtros, Passes de Render y Composición en Nuke","Sandra Rubio, Joana Aranda","1,5 horas en total",18 ,Principiante,"54,99 €",
"AutoCAD 2023 - Dibuja desde cero un plano de Arquitectura.
En el curso de AutoCAD 2023 aprenderás a dibujar planos en arquitectura desde cero, paso a paso.",Ruth Cepero,7 horas en total,43 ,Intermedio,"14,99 €","19,99 €"
"Borda y cose tu propio bolso.
Aprende a customizar tus prendas bordando, y realizar tus propios complementos.",Marlon Ceballos,1 hora en total,16 ,Todos los niveles,"14,99 €","94,99 €"
"Aprende AutoCad: Nivel Estudio de Arquitectura.
Aprende a manejar AutoCAD correctamente y obtén una plantilla de trabajo","Miguel Angel Soto, SDQ Training Center","7,5 horas en total",20 ,Todos los niveles,"14,99 €","19,99 €"
"Aprenda Microstation - Curso completo de Diseño 2D y 3D
Aprenda diseño CAD con Bentley Microstation Connect - V8","Joel Combes, SDQ Training Center","8,5 horas en total",103 ,Todos los niveles,"149,99 €",
"Diseño estructural de MAMPOSTERÍA CONFINADA
Diseña estructuras de mampostería confinada!",Daniel Nuñez,19 horas en total,18 ,Intermedio,"14,99 €","49,99 €"
"Diseño de sistemas estructurales con SolidWorks
Diseño de piezas estructurales y metálicas en solidworks",Moises Baxin,"19,5 horas en total",40 ,Intermedio,"14,99 €","94,99 €"
"Cómo Crear una Tienda Online con Tiendanube Desde Cero 2023
Aprende a cómo crear una tienda online con Tiendanube para vender tus productos por Internet de forma fácil y simple.",Albo Ruiz,"1,5 horas en total",18 ,Todos los niveles,"14,99 €","94,99 €"
"Aprende a renderizar con Sketchup y Vray nivel avanzado
Presenta tus propuestas arquitectónicas a traves de fotos y videos realistas",Libel Academy,"4,5 horas en total",19 ,Todos los niveles,"14,99 €","94,99 €"
"Máster diseño gráfico & Curso avanzado Photoshop + InDesign
Desde iniciación a experto. Super curso de los dos programas más importantes del diseño gráfico: Photoshop + Indesign",La Fábrica LAB3D,17 horas en total,98 ,Todos los niveles,"14,99 €","94,99 €"
"Aprende Sketchup avanzado para proyectos arquitectonicos
Presenta tus propuestas arquitectónicas a traves de fotos y videos realistas",La Fábrica LAB3D,"4,5 horas en total",19 ,Todos los niveles,"19,99 €",
"Programación Visual con Rhino, Grasshopper y Revit
De cero a BIM paramétrico",Nedgardo Otero,"1,5 horas en total",11 ,Principiante,"14,99 €","24,99 €"
"Diseño Generativo BIM con Revit
Optimización Propuestas con Diseño Computacional",vcecursos Consultoría & Capacitación,"7,5 horas en total",46 ,Todos los niveles,"14,99 €","94,99 €"
"Curso De Onshape
Aprende Onshape de manera fácil y práctica.",Vanessa Gonzalez,4 horas en total,29 ,Todos los niveles,"14,99 €","94,99 €"
"Curso de Figma en Español (de 0 a Experto en 5 horas)
El único curso que necesitas para aprender Figma - curso práctico en el que aprenderás a usar Figma creando proyectos",Jose Vicente Gosálbez Ortega,2 horas en total,16 ,Todos los niveles,"14,99 €","94,99 €"
"Inteligencia Artificial aplicada Proyectos Arquitectónicos
Aprende a generar imágenes digitales para tus diseños de Interiorismo y Arquitectura con Inteligencia Artificial (AI)","AulaGEO Academy, Golgi Alvarez",3 horas en total,23 ,Todos los niveles,"14,99 €","19,99 €"
"Crea una tienda en línea en WordPress
Crea la tienda Online ideal para tu negocio de accesorios personales",Diseño Estructural de México,"2,5 horas en total",9 ,Todos los niveles,"14,99 €","19,99 €"
"Invasión kaiju: Ilustración digital de monstruos gigantes
Crea bestias enormes en escenas épicas llenas de acción, a través de la ilustración digital",Fidel Gaspar Cerqueda Bravo,"25,5 horas en total",43 ,Todos los niveles,"14,99 €","19,99 €"
"Adobe Illustrator de básico a avanzado
desde las versiones 2017 a 2023",Renato Jesús Yacolca Neyra,"1,5 horas en total",10 ,Todos los niveles,"14,99 €","19,99 €"
"Aprender animar con un programa como Moho pro
Este es el curso que estabas esperando, Rigging y Animación de personaje 2D en Moho Pro.",Luz Alejandra Cordova Urra,"14,5 horas en total",43 ,Intermedio,"14,99 €","94,99 €"
"Como pasar de Freelance a Agencia de Desarrollo Web
Crea una agencia de desarrollo y diseño de páginas web, pasar de Freelance a Empresa con procesos estandarizados",Manuel García Pallarés,"32,5 horas en total",253 ,Principiante,"14,99 €","94,99 €"
"Blender - EXPERTO en Modelado Hard Surface
Aprender a modelar en Hard Surface desde cero, aplicando tecnicas profesionales y evitando los errores mas comunes.",Luz Alejandra Cordova Urra,"2,5 horas en total",28 ,Todos los niveles,"54,99 €",
"Clase magistral Diseño de personajes: diseña tus personajes
Diseña tus propios personajes y aplica los principios de diseño usando Procreate, Photoshop o tu software favorito!",Ruth Cepero,"4,5 horas en total",40 ,Todos los niveles,"14,99 €","94,99 €"
"Curso Corel Draw aplicado al arte
El Arte y la Tecnología",Marlon Ceballos,"4,5 horas en total",13 ,Todos los niveles,"14,99 €","19,99 €"
"Blender - EXPERTO en Rig y Animación de Personajes 3D
Aprende a realizar Rig en personajes 3D con Blender. Técnicas profesionales.","Miguel Angel Soto, SDQ Training Center","5,5 horas en total",32 ,Principiante,"14,99 €","94,99 €"
"Onshape: Inicia en el modelado 3D para tus proyectos
Curso 100% practico enfocado a aprender a modelar objetos para materializarlos con ayuda de una impresora 3D","Joel Combes, SDQ Training Center",2 horas en total,16 ,Principiante,"14,99 €","19,99 €"
"Curso de SOLIDWORKS AVANZADO | Diseña un proyecto Industrial
Diseño y desarrollo de un sistema de transporte, pesaje y almacenado a granel, desde Cero en SolidWorks [2022]",Daniel Nuñez,13 horas en total,139 ,Intermedio,"14,99 €","49,99 €"
"Maestría en Solidworks 2022
Domina el programa de solidworks de 0 a 100 y se parte de los mejores de Latinoamérica",Fernando Rivera,4 horas en total,30 ,Intermedio,"14,99 €","94,99 €"
"Curso de Dibujo: ¡De Cero a Avanzado!
Comienza a dibujar todo aquello que siempre habías soñado",Luz Alejandra Cordova Urra,6 horas en total,30 ,Intermedio,"14,99 €","94,99 €"
"Revit: Modelado arquitectónico paso a paso.
Aprende a manejar el programa que está cambiando la forma de hacer arquitectura",Luz Alejandra Cordova Urra,12 horas en total,136 ,Todos los niveles,"14,99 €","94,99 €"
"Adobe After Effects CC Máster de Cero a Experto v2022
Efectos especiales, animaciones, partículas, colorización cinematográfica, máscaras, cámaras, luces y mucho más!",Luz Alejandra Cordova Urra,"5,5 horas en total",39 ,Todos los niveles,"14,99 €","94,99 €"
"Geotecnia y Cimentaciones en Construcciones y Edificaciones
Aprende los fundamentos de la Mecánica de Suelos para el Diseño de Obras y Edificaciones",Luz Alejandra Cordova Urra,7 horas en total,73 ,Todos los niveles,"14,99 €","19,99 €"
"Aprende diseño web con Adobe XD desde 0 a Profesional
Conviértase en un eficiente diseñador web de Adobe Xd utilizando mis métodos de flujo de trabajo.",Luz Alejandra Cordova Urra,"7,5 horas en total",37 ,Principiante,"14,99 €","29,99 €"
"Fotogrametría y Documentación Arquitectónica
Técnicas, Aplicaciones, Métodos y Sistemas Fotogramétricos para Levantamientos Arquitectónicos y Arqueológicos",Creativity Unleashed,2 horas en total,21 ,Intermedio,"14,99 €","24,99 €"
"Illustrator CC, Técnicas para crear diseños en 3D de 0-100
Modelado y Construcción de diseños en 3D",Maria Claudia Mejía,"9,5 horas en total",39 ,Principiante,"14,99 €","19,99 €"
"Megacurso completo de Adobe Animate: principiante a experto
Aprende a usar Adobe Animate como un profesional con este curso paso a paso",Juan Camilo Maz,"2,5 horas en total",24 ,Todos los niveles,"14,99 €","24,99 €"
"Curso completo de Divi para WordPress 2022
Aprende todo sobre mejor complemento de WordPress que existe",Davis Anderson Bastidas Vicente,"3,5 horas en total",74 ,Todos los niveles,"14,99 €","19,99 €"
"Sistemas Constructivos y Estructurales en Arquitectura
Bases del Diseño y Proyecto Constructivo y Estructural en Edificaciones. Tipologías, Técnica y Materialidad",Miguel Pena Puertolas,"11,5 horas en total",56 ,Principiante,"14,99 €","19,99 €"
"Topografía y Replanteos en Obras de Edificación
Fundamentos de los Métodos y Sistemas Actuales de Representación del Entorno Constructivo",Jonatan Momez,6 horas en total,47 ,Todos los niveles,"14,99 €","94,99 €"
"Organización, Planificación y Gestión de Obras Construcción
Todo sobre el proceso de planificación, coordinación, supervisión y control de un proyecto de construcción.",Diana Ielciu,"1,5 horas en total",5 ,Principiante,"14,99 €","69,99 €"
"Tipologías y Fundamentos de la Edificación Contemporánea
Historia, Tipologías, Estilos, Elementos, Técnicas y Sistemas Básicos de los Procesos Constructivos en Edificación",Felix Enzo Garofalo Lanzuisi,5 horas en total,73 ,Principiante,"14,99 €","24,99 €"
"Restauración y Conservación del Patrimonio Arquitectónico
Análisis, Mantenimiento, Rehabilitación, Reconstrucción, Conservación y Gestión del Patrimonio Arquitectónico",Yalcimar Rivero,4 horas en total,44 ,Principiante,"14,99 €","94,99 €"
"Composición, Estética y Fundamentos de la Arquitectura
Conocimiento e Interpretación de la Arquitectura y Bases Teóricas del Diseño Estético Contemporáneo",Valentyn-Vladyslav Kotsarenko,"8,5 horas en total",11 ,Todos los niveles,"14,99 €","84,99 €"
"Bomba Centrífuga en Autodesk Inventor
Curso paso a paso del modelado de una Bomba Centrífuga",Ruth Cepero,2 horas en total,13 ,Principiante,"14,99 €","34,99 €"
"Lumion 12 - De inicio a experto
Renderiza profesionalmente con Lumion y crea recorridos virtuales de alta calidad.",Marlon Ceballos,1 hora en total,8 ,Principiante,"14,99 €","49,99 €"
"Modelado y texturizado para videojuegos en blender
Modelado y texturizado para videojuegos en Blender 3.2.2 y Unreal Engine 5","Miguel Angel Soto, SDQ Training Center",4 horas en total,32 ,Intermedio,"14,99 €","19,99 €"
"Framework BIM Básico con ArchiCAD
¡Construye, documenta, publica, exporta y presenta tu proyecto BIM con ArchiCAD!","Joel Combes, SDQ Training Center","2,5 horas en total",20 ,Todos los niveles,"14,99 €","34,99 €"
"Curso de Canva en Español | De Principiante a Emprendedor
Aprende Canva tomando este fantástico curso donde desarrollarás diferentes proyectos prácticos",Daniel Nuñez,6 horas en total,16 ,Principiante,"14,99 €","49,99 €"
"Curso de Diseño y Decoración de Interiores
Curso de Diseño y Decoración de entornos de interior",Felix Enzo Garofalo Lanzuisi,2 horas en total,13 ,Todos los niveles,"14,99 €","94,99 €"
"Creación PÁGINAS WEB profesionales DESDE CERO con WordPress
Todo sobre creación páginas web desde cero con CMS WordPress de manera práctica",Felix Enzo Garofalo Lanzuisi,"6,5 horas en total",17 ,Principiante,"14,99 €","94,99 €"
"Curso Básico de Canva 2023: Crea Diseños Gráficos Desde Cero
Domina Canva y crea diseños y piezas gráficas desde cero, de forma fácil y simple, sin saber de diseño gráfico.",Paulo Villarreal,9 horas en total,114 ,Intermedio,"14,99 €","94,99 €"
"Blender 3.x: Guía para principiantes
Nunca fue tan fácil aprender a modelar.",Todo Academia,8 horas en total,103 ,Principiante,"14,99 €","94,99 €"
"Cose una FALDA juvenil con short interior
Con patrón descargable gratis","Álvaro García, Lucía Fernández, Cursos Online Arquitectura, Formación Certificada",12 horas en total,90 ,Todos los niveles,"14,99 €","49,99 €"
"Fotomontaje Nivel Intermedio con Photoshop
Aprende a crear composiciones fantásticas a partir de la manipulación de imágenes digitales con Photoshop.",Ulises Gibran Cano Herrera,"23,5 horas en total",47 ,Todos los niveles,"14,99 €","69,99 €"
"curso de canva desde cero
Curso que te enseña desde lo más básico",Alvaro Valencia (Enemicrab),"4,5 horas en total",9 ,Intermedio,"14,99 €","94,99 €"
"Fotomontaje Nivel Básico con Photoshop
Comienza a dar tus primeros pasos en el fotomontaje creando composiciones creativas y realistas con photoshop.",Diego Peinador Pascua,10 horas en total,89 ,Intermedio,"14,99 €","19,99 €"
"Diseña en Canva desde cero
Comienza a darle identidad a tu marca desde ya.",Ángel Marcelo Pace,2 horas en total,20 ,Intermedio,"14,99 €","19,99 €"
"Curso de Ultimaker Cura de 0 a 100
Domina el Software para impresion 3D mas importante de la industria",Federico Jauregui,7 horas en total,40 ,Todos los niveles,"14,99 €","69,99 €"
"Solidworks para todos: Modulo 1
Creacion de Piezas",Alfonso Alcaide,6 horas en total,48 ,Todos los niveles,"14,99 €","19,99 €"
"WP Rocket 2023: Mejora la Velocidad de Carga en WordPress
Aprende a cómo mejorar la velocidad de carga de un sitio web de WordPress con el plugin WP Rocket.","Marius Worch, Wencke Schaper","13,5 horas en total",70 ,Principiante,"14,99 €","19,99 €"
"Color anime digital
Desde cero",Pablo Modugno,6 horas en total,126 ,Todos los niveles,"14,99 €","19,99 €"
"Interpretación de Planos de Arquitectura y Construcción
Aprende a interpretar y leer correctamente todo tipo de documentación gráfica técnica arquitectónica",Alfonso Alcaide,4 horas en total,30 ,Principiante,"14,99 €","24,99 €"
"Historia de la Decoración, Interiorismo y la Arquitectura
Aprende los fundamentos históricos esenciales para Decoradores, Interioristas y Arquitectos",Rafael Lopez Barajas,8 horas en total,38 ,Todos los niveles,"14,99 €","19,99 €"
"Crea un avatar en 3D con tu rostro (Twich, Streamlabs)
Crea un avatar en 3D con tu rostro y con movimiento para tus notificaciones de Twich, Bits, suscripciones y otras más!!",Miguel Pena Puertolas,"6,5 horas en total",72 ,Todos los niveles,"14,99 €","94,99 €"
"Personaje para cinemáticas en Blender - Zorrito
Blender para cinemáticas",Ruth Cepero,9 horas en total,79 ,Principiante,"14,99 €","19,99 €"
"Diseño WEB para no programadores
Aprendé a crear tus propias páginas web profesionales sin escribir ninguna línea de código.",Marlon Ceballos,"6,5 horas en total",76 ,Todos los niveles,"14,99 €","19,99 €"
"Introducción al Voxel Art con MagicaVoxel
Utiliza los cubos para darle forma a tus ideas con magicavoxel","Miguel Angel Soto, SDQ Training Center","3,5 horas en total",18 ,Todos los niveles,"14,99 €","19,99 €"
"Curso Integral REVIT ARQUITECTURA: desde Cero
Curso desde Cero a Avanzado sobre Revit Arquitectura","Joel Combes, SDQ Training Center",10 horas en total,20 ,Todos los niveles,"14,99 €","94,99 €"
"Encuadernación Artesanal: Cuaderno tradicional
¡Podrás aprender la técnica Cartoné + Costura francesa desde cero! NO necesitas tener conocimientos previos.",Daniel Nuñez,"5,5 horas en total",10 ,Principiante,"14,99 €","49,99 €"
"Máster en WordPress 2023, ¡Desde Cero Hasta Experto!
Aprende a crear aplicaciones web con WordPress, de forma fácil y simple, sin saber de programación.",David Julinho Caparachin Ricapa,"8,5 horas en total",116 ,Todos los niveles,"14,99 €","94,99 €"
"Aprende a renderizar con 3DS MAX y VRAY
Curso de 3DS MAX Y VRAY",Innovagile Hub S.A.,"7,5 horas en total",106 ,Todos los niveles,"14,99 €","94,99 €"
"Aprende a IMPRIMIR en 3D desde cero
Aprende a imprimir en 3D, sin importar tu nivel, tengas o no impresora",Gabrielvillegas19 Gabriel Villegas,8 horas en total,122 ,Todos los niveles,"14,99 €","94,99 €"
"PHOTOSHOP : Curso de Diseño Digital de 0 a 100
Domina Photoshop en nivel experto y crearás fotoMontajes, textos con asombrosos efectos, ilustraciones y diseño digital",Renato Jesús Yacolca Neyra,8 horas en total,93 ,Todos los niveles,"14,99 €","94,99 €"
"Aprende Catia V5 desde cero, con aplicación aeroespacial
Curso básico, con aplicación de diseño de ingeniería en 3D",Diego Andrés Muñoz Guerrero,6 horas en total,64 ,Todos los niveles,"14,99 €","49,99 €"
"Domina SketchUp Pro en 30 días
SketchUp PRO Básico",Sofía Fernández,"10,5 horas en total",153 ,Todos los niveles,"14,99 €","19,99 €"
"Robot en ZBrush - A la luz de las estrellas
Aprende ZBrush desde cero",GTS Ingeniería Integral,"6,5 horas en total",46 ,Intermedio,"14,99 €","39,99 €"
"Cómo crear los Backrooms en Blender
Crea el entorno de uno de los creepypastas mas famosos mientras perfeccionas tus habilidades como artista 3D.",Valentyn-Vladyslav Kotsarenko,"5,5 horas en total",28 ,Principiante,"14,99 €","94,99 €"
