Title,Organization,Price,Info
"Domina la Programación en VBA [Automatiza Tareas en Excel]
Aprende el lenguaje VBA para crear aplicaciones personalizadas en Microsoft Office y otras aplicaciones de Windows.",Ivan AlsiGo,"Precio actual
14,99 €
Precio original
94,99 €",10 horas en total67 clasesTodos los niveles
"SAP Business One: el ERP utilizado por más de 70 mil PYMES
Introducción a las funcionalidades más relevantes de SAP Business One, desde una perspectiva de escenarios empresariales",Miquel Nadal Vela,"Precio actual
14,99 €
Precio original
69,99 €","7,5 horas en total18 clasesPrincipiante"
"Gestión del tiempo para mujeres en el mercado de trabajo
Te enseño a dominar la gestión del tiempo y de tu trabajo, para que seas productiva.",Excelquiel Garcia Becerra,"Precio actual
14,99 €
Precio original
49,99 €","1,5 horas en total9 clasesTodos los niveles"
"Gmail para Principiantes: Aumentar tu Productividad
Aprenda Gmail GSuite para conocer las funciones de Gmail, toneladas de sugerencias de Gmail y recursos para administrar","Inno- GEO, Orlando Gimenez","Precio actual
14,99 €
Precio original
19,99 €","1,5 horas en total14 clasesPrincipiante"
"Cómo ganar todas las discusiones en el trabajo
Aprenderás cómo evitar pero también resolver las conversaciones difíciles a tu favor",Ivan AlsiGo,"Precio actual
14,99 €
Precio original
94,99 €","1,5 horas en total5 clasesTodos los niveles"
"Aprende a crear tus propias funciones en Excel con LAMBDA
Crea tus propias funciones en Excel para que luego las puedas reutilizar",Juan Pablo Enriquez Ortiz,"Precio actual
14,99 €
Precio original
19,99 €",1 hora en total21 clasesTodos los niveles
"Microsoft Word desde cero
Maneja correctamente Microsoft Word",Edder Rodriguez,"Precio actual
14,99 €
Precio original
49,99 €",1 hora en total7 clasesTodos los niveles
"Microsoft Excel Esencial - Fácil, Rápido y Simple.
Curso especial para principiantes con todo lo elemental que debes saber de MS Excel",Noira Rodríguez,"Precio actual
14,99 €
Precio original
89,99 €","5,5 horas en total51 clasesPrincipiante"
"EXCEL: Datos, Tablas Dinámicas, Gráficos, Funciones y Más
Conviértete en un Pro de las Hojas de Cálculo, Domina la Interfaz de Excel, Macros, Análisis y todas las Funciones",Claudio Jinsking,"Precio actual
14,99 €
Precio original
19,99 €",16 horas en total150 clasesTodos los niveles
"Web scraping con Excel VBA - Teoría y práctica
Programación en Excel, Excel VBA, Macros en Excel, web scraping con excel, extracción de datos en web, teoría sobre html",Javier Galué,"Precio actual
14,99 €
Precio original
44,99 €","6,5 horas en total18 clasesTodos los niveles"
"Microsoft PowerPoint: Crea presentaciones profesionales
Gabriela, te enseñará todo sobre Microsoft Powepoint.",Alfonso Rinsche,"Precio actual
14,99 €
Precio original
34,99 €","7,5 horas en total96 clasesTodos los niveles"
"Planificación y Gestión de Proyectos con Microsoft Planner
Sácale el máximo provecho a Microsoft Planner para planificar tus tareas y gestionar los proyectos en equipo",Alfonso Rinsche,"Precio actual
14,99 €
Precio original
94,99 €",3 horas en total54 clasesTodos los niveles
"Power Automate Desktop - Curso Completo de RPA
Crea robots de software autónomos con Power Automate Desktop - Robotic Process Automation (RPA)",Etraining S.A DE C.V,"Precio actual
14,99 €
Precio original
49,99 €","9,5 horas en total108 clasesTodos los niveles"
