Title,Organization,Price,Info
"Programación en C desde básico a avanzado
Domina C y desarrolla tus habilidades de programación: desde los conceptos básicos hasta la programación avanzada",Luis David Garcia Luis,"Precio actual
14,99 €
Precio original
49,99 €","2,5 horas en total
87 clases
Principiante"
"Javascript y Jquery - Frontend II
curso de js con jquery interactivo",Juan Camilo Clavijo Sandoval,"Precio actual
14,99 €
Precio original
94,99 €","3 horas en total
16 clases
Principiante"
"Machine Learning: Aplicado a Python y Data Science
Aprende a crear algoritmos de Machine Learning en Python para estudiantes y profesionales",Tutos Coders,"Precio actual
14,99 €
Precio original
19,99 €","6,5 horas en total
24 clases
Principiante"
"Aprende Scratch de manera fácil y divertida
Creatividad,Desarrollo e Imaginación.",Jonathan Goyes,"Precio actual
14,99 €
Precio original
19,99 €","18 horas en total
160 clases
Principiante"
"API REST hecho en Laravel con arquitectura hexagonal y JWT
En este curso aprenderás sobre como realizar un API REST implementado arquitectura hexagonal con Laravel",Luis Fernando Ramos,"Precio actual
15,99 €
Precio original
19,99 €","10 horas en total
7 clases
Todos los niveles"
"Introducción a la programación con Python
Un curso moderno para aprender a programar en 2023 con el lenguaje más popular del mundo.",Facundo Darfe,"Precio actual
14,99 €
Precio original
19,99 €","4 horas en total
42 clases
Principiante"
"Machine Learning para principiantes
Validación, verificación y como funcionan los modelos de machine learning, deep learning e inteligencia artificial",Raimundo Huaman Perez,"Precio actual
14,99 €
Precio original
94,99 €","4 horas en total
29 clases
Principiante"
"Digiturno o Turnero Web Con Php Javascript Mysql
Sistema de Gestion de Filas","Meta Brains, Nicolás Seia","Precio actual
39,99 €
Precio original
49,99 €","2,5 horas en total
35 clases
Principiante"
"Estructuras de Datos y Algoritmos
Estructuras de datos y Algoritmos fundamentales necesarios para las entrevistas técnicas.",Luis Alfonso Martinez Alfaro,"Precio actual
14,99 €
Precio original
19,99 €","17 horas en total
40 clases
Experto"
"Ultimate Alteryx Bootcamp para analistas de negocio- Español
¡Comienza a utilizar Alteryx ya!",Cristian Camilo Vasquez Osorio,"Precio actual
79,99 €
Precio original
94,99 €","21,5 horas en total
520 clases
Principiante"
"MIT app inventor 2 (AI2) de cero a master, cero codificación
Creación de aplicaciones móviles sin conocimientos de programación",Francisco Vicent,"Precio actual
14,99 €
Precio original
19,99 €","20,5 horas en total
188 clases
Intermedio"
"Aprende HTML y CSS: Domina las habilidades esenciales
Aprende HTML5 y CSS3 de forma práctica [semantica, accesibilidad, responsive, flexbox, grid, menús]",Francisco Javier Arce Anguiano,"Precio actual
24,99 €
Precio original
29,99 €","9 horas en total
29 clases
Experto"
"Exámen para Desarrolladores Web (Tres niveles de dificultad)
Pon a prueba tus habilidades de desarrollador web. Desafíate a ti mismo y demuestra tus conocimientos.",Apasoft Training,"Precio actual
15,99 €
Precio original
19,99 €","9,5 horas en total
45 clases
Principiante"
"Master:Playwright con Python, pruebas automatizada (Español)
Automatiza tus Pruebas con Playwright y Python atravez de multiples Ejemplos (EN ESPAÑOL).","KNOWMENT Formación, consultoría y coaching","Precio actual
15,99 €
Precio original
19,99 €","2,5 horas en total
29 clases
Principiante"
"Unity 3D + ChatOpenAI creando un Juego de Pelea.
Desarrolla un juego 3d en tiempo record",Francisco Javier Arce Anguiano,"Precio actual
15,99 €
Precio original
19,99 €","2,5 horas en total
23 clases
Todos los niveles"
"Como hacer Videojuegos de terror con Godot 4 | Curso Español
Crea tus primeros juegos en 3D usando Godot Engine",Pixel Pro Web,"Precio actual
19,99 €
Precio original
24,99 €","7 horas en total
86 clases
Todos los niveles"
"WhatsApp Api con PHP Envío y Recepción de Mensajes
WhatsApp Api con PHP Envío y Recepción de Mensajes, Creación de un Chat BOT, Integración con CHATGPT",Christian Ramirez,"Precio actual
14,99 €
Precio original
94,99 €","4,5 horas en total
42 clases
Todos los niveles"
"APP de cuentos con IA junto a ChatGPT | Flutter y NestJS
Tu propia APP (Multi-Idioma) de cuentos generados con IA tipo Twitter utilizando Flutter y NestJS junto a ChatGPT",Yordis Escorcia Vasquez,"Precio actual
14,99 €
Precio original
69,99 €","6 horas en total
41 clases
Todos los niveles"
"Master en Pruebas Técnicas: +70 Nuevos Ejercicios de Código
Entrenamiento intensivo de Pruebas Técnicas y Lógica de Programación ¡Supera tu próxima Entrevista de Desarrollador!",Cristhian Carrascal,"Precio actual
14,99 €
Precio original
19,99 €","16 horas en total
156 clases
Principiante"
"Fundamentos de Algoritmos, entrena tu Lógica en programación
Mejora como Programador. Te explicamos diferentes Algoritmos junto a mucho practica. Desarrolla como un Profesional.",Marian Aguilera Mora,"Precio actual
14,99 €
Precio original
19,99 €","16 horas en total
156 clases
Principiante"
"Análisis Exploratorio de Datos con Python y R
Análisis y manejo de datos con Python y R.",Jaime Alfredo Avilés Flores,"Precio actual
14,99 €
Precio original
19,99 €","2 horas en total
43 clases
Principiante"
"Curso de PHP desde básico
Aprende desde cero PHP",Disco Duro de Roer,"Precio actual
14,99 €
Precio original
94,99 €","6 horas en total
41 clases
Todos los niveles"
"Flutter para principiantes: desde 0 y full proyectos - 2023
Inicia tu camino hacia Flutter de forma fácil y rápida.",Tomás Emiliano Lazarte,"Precio actual
14,99 €
Precio original
19,99 €","34 minutos en total
7 clases
Principiante"
"Ultimate Python: de cero a programador experto
Conviértete en programador experto viendo desde lo básico hasta lo más avanzado de Python",Rodrigo Villanueva Nieto,"Precio actual
14,99 €
Precio original
19,99 €","10,5 horas en total
97 clases
Principiante"
