Title,Organization,Course_duration,Course_clases,Course_level,Course_actual_price,Course_original_price
"Gmail para Principiantes: Aumentar tu Productividad
Aprenda Gmail GSuite para conocer las funciones de Gmail, toneladas de sugerencias de Gmail y recursos para administrar","Inno- GEO, Orlando Gimenez","1,5 horas en total",14,Principiante,"14,99 €","19,99 €"
"Cómo ganar todas las discusiones en el trabajo
Aprenderás cómo evitar pero también resolver las conversaciones difíciles a tu favor",Ivan AlsiGo,"1,5 horas en total",5,Todos los niveles,"14,99 €","94,99 €"
"Aprende a crear tus propias funciones en Excel con LAMBDA
Crea tus propias funciones en Excel para que luego las puedas reutilizar",Juan Pablo Enriquez Ortiz,1 hora en total,21,Todos los niveles,"14,99 €","19,99 €"
"Microsoft Word desde cero
Maneja correctamente Microsoft Word",Edder Rodriguez,1 hora en total,7,Todos los niveles,"14,99 €","49,99 €"
"Microsoft Excel Esencial - Fácil, Rápido y Simple.
Curso especial para principiantes con todo lo elemental que debes saber de MS Excel",Noira Rodríguez,"5,5 horas en total",51,Principiante,"14,99 €","89,99 €"
"EXCEL: Datos, Tablas Dinámicas, Gráficos, Funciones y Más
Conviértete en un Pro de las Hojas de Cálculo, Domina la Interfaz de Excel, Macros, Análisis y todas las Funciones",Claudio Jinsking,16 horas en total,150,Todos los niveles,"14,99 €","19,99 €"
"Web scraping con Excel VBA - Teoría y práctica
Programación en Excel, Excel VBA, Macros en Excel, web scraping con excel, extracción de datos en web, teoría sobre html",Javier Galué,"6,5 horas en total",18,Todos los niveles,"14,99 €","44,99 €"
"Microsoft PowerPoint: Crea presentaciones profesionales
Gabriela, te enseñará todo sobre Microsoft Powepoint.",Alfonso Rinsche,"7,5 horas en total",96,Todos los niveles,"14,99 €","34,99 €"
"Planificación y Gestión de Proyectos con Microsoft Planner
Sácale el máximo provecho a Microsoft Planner para planificar tus tareas y gestionar los proyectos en equipo",Alfonso Rinsche,3 horas en total,54,Todos los niveles,"14,99 €","94,99 €"
"Power Automate Desktop - Curso Completo de RPA
Crea robots de software autónomos con Power Automate Desktop - Robotic Process Automation (RPA)",Etraining S.A DE C.V,"9,5 horas en total",108,Todos los niveles,"14,99 €","49,99 €"
"Aprende Miro de 0 a Intermedio: Trabajo Colaborativo
Dispara la colaboración a niveles inimaginables utilizando MIRO como un experto!.",Ricardo Naya,2 horas en total,13,Todos los niveles,"14,99 €","94,99 €"
"Aprende a utilizar Power Apps y Power Automate
Descubre el potencial de la automatización de tareas con Power Automate y crea aplicaciones para cualquier necesidad",Ricardo Naya,"8,5 horas en total",56,Intermedio,"14,99 €","89,99 €"
"Marca la diferencia con Excel
Excel Intermedio",Ernesto Arreaga,5 horas en total,16,Intermedio,"14,99 €","19,99 €"
"Proyectos con Oracle Primavera P6 de cero a Experto
Gestiona de forma exitosa tus proyecto",Jorge Luis Rios Angulo,14 horas en total,9,Todos los niveles,"14,99 €","19,99 €"
"Máster en Notion
de 0 a experto",Daniel Martinez,"2,5 horas en total",31,Principiante,"14,99 €","19,99 €"
"Curso para PRINCIPIANTES de Zoho CRM
Aprende los primeros pasos que debes seguir para configurar Zoho CRM desde 0",Juan Pablo Enriquez Ortiz,3 horas en total,65,Principiante,"14,99 €","19,99 €"
"Microsoft PowerPoint COMPLETO desde 0
Aprende a utilizar PowerPoint desde 0 hasta el final, sin necesidad de tener conocimientos previos.",Luis Rojas,"3,5 horas en total",22,Todos los niveles,"14,99 €","44,99 €"
"Excel Completo de Cero a Avanzado - Modelado de datos
Clases de Excel (Básico-Intermedio-Avanzado) con Particular de Excel. Preparacion para Data Analysis.","Numpi Cursos, Gabriela Segovia Castro","1,5 horas en total",44,Todos los niveles,"14,99 €","19,99 €"
"Excel Completo: Fórmulas, Tablas Dinámicas y más..
Desde principiante hasta avanzado",Miquel Nadal Vela,8 horas en total,90,Todos los niveles,"14,99 €","94,99 €"
"Curso de Excel - fórmulas, tablas dinámicas y dashboards
Curso de Excel 100 % al grano y sin rodeos donde aprenderás a aplicar fórmulas, tablas dinámicas y dashboards.",Ivan AlsiGo,3 horas en total,63,Todos los niveles,"14,99 €","94,99 €"
"Google Drive: Aprende Docs y Slides desde 0
Aprenda las herramientas para crear documentos y presentaciones de Google Drive de una manera fácil y practica.",Marcelo Concha,8 horas en total,48,Intermedio,"14,99 €","24,99 €"
"Microsoft Word | Curso Completo (Spanish Edition)
Microsoft Office 365, potencia tu vida profesional.",Pedro José Hernández Muñoz,"10,5 horas en total",27,Todos los niveles,"14,99 €","19,99 €"
"Taller de productividad con Notion
Incrementa tu productividad con herramientas y técnicas efectivas",Carmen Eugenia Quintero,10 horas en total,36,Todos los niveles,"14,99 €","39,99 €"
"Automatiza tu trabajo con macros de Excel (VBA)
Aprende a programar y a automatizar procesos con macros",José G Guevara L,5 horas en total,71,Principiante,"14,99 €","29,99 €"
"Crea Correos Corporativos con Dominio Propio en Gmail 2023
Aprende a como crear correos corporativos con dominio propio en Gmail, de forma fácil y simple.",Andrés G,33 minutos en total,10,Todos los niveles,"14,99 €","24,99 €"
"Introducción a la Gestión Empresarial con SAP R/3
¡Curso inicial para comprender el universo de SAP!",Millennials Consulting,1 hora en total,5,Principiante,"14,99 €","34,99 €"
"Notion. Gestión de Proyectos y Aumento de la Productividad
Aprende Todo sobre Notion. Software Multiplataforma de Gestión de Proyectos, Notas, Plazos, Objetivos, Tareas",Educación Digital,6 horas en total,48,Todos los niveles,"14,99 €","19,99 €"
"Curso 100% practico de GTD con FacileThings
Triplica ya tu productividad con el paso a paso para hacerlo.",Particular de Excel,4 horas en total,22,Principiante,"14,99 €","29,99 €"
"Teams de Microsoft: Productividad para equipos de trabajo
Cómo trabajar en equipo sin importar desde dónde",Alfonso Rinsche,3 horas en total,13,Principiante,"14,99 €","34,99 €"
"Microsoft Word 2019: De cero a Avanzado
Word 2019",Alfonso Rinsche,"1,5 horas en total",8,Todos los niveles,"14,99 €","94,99 €"
"Excel desde cero
Para Principiantes, Intermedios y Avanzados",Etraining S.A DE C.V,"7,5 horas en total",149,Todos los niveles,"14,99 €","49,99 €"
"Aprende Excel de 0 a Intermedio
Domina la principal herramienta de gestión de las organizaciones a nivel mundial!",Ricardo Naya,"5,5 horas en total",22,Todos los niveles,"14,99 €","94,99 €"
"Microsoft Excel: De Principiante a Avanzado
Conviértete en un experto en Microsoft Excel, domina funciones, tablas dinámicas, herramientas de análisis y mucho más.",Ricardo Naya,16 horas en total,193,Todos los niveles,"14,99 €","89,99 €"
