Title,Organization,Course_duration,Course_clases,Course_level,Course_actual_price,Course_original_price
"API REST hecho en Laravel con arquitectura hexagonal y JWT
En este curso aprenderás sobre como realizar un API REST implementado arquitectura hexagonal con Laravel",Luis Fernando Ramos,10 horas en total,7,Todos los niveles,"15,99 €","19,99 €"
"Introducción a la programación con Python
Un curso moderno para aprender a programar en 2023 con el lenguaje más popular del mundo.",Facundo Darfe,4 horas en total,42,Principiante,"14,99 €","19,99 €"
"Machine Learning para principiantes
Validación, verificación y como funcionan los modelos de machine learning, deep learning e inteligencia artificial",Raimundo Huaman Perez,4 horas en total,29,Principiante,"14,99 €","94,99 €"
"Digiturno o Turnero Web Con Php Javascript Mysql
Sistema de Gestion de Filas","Meta Brains, Nicolás Seia","2,5 horas en total",35,Principiante,"39,99 €","49,99 €"
"Estructuras de Datos y Algoritmos
Estructuras de datos y Algoritmos fundamentales necesarios para las entrevistas técnicas.",Luis Alfonso Martinez Alfaro,17 horas en total,40,Experto,"14,99 €","19,99 €"
"Ultimate Alteryx Bootcamp para analistas de negocio- Español
¡Comienza a utilizar Alteryx ya!",Cristian Camilo Vasquez Osorio,"21,5 horas en total",520,Principiante,"79,99 €","94,99 €"
"MIT app inventor 2 (AI2) de cero a master, cero codificación
Creación de aplicaciones móviles sin conocimientos de programación",Francisco Vicent,"20,5 horas en total",188,Intermedio,"14,99 €","19,99 €"
"Aprende HTML y CSS: Domina las habilidades esenciales
Aprende HTML5 y CSS3 de forma práctica [semantica, accesibilidad, responsive, flexbox, grid, menús]",Francisco Javier Arce Anguiano,9 horas en total,29,Experto,"24,99 €","29,99 €"
"Exámen para Desarrolladores Web (Tres niveles de dificultad)
Pon a prueba tus habilidades de desarrollador web. Desafíate a ti mismo y demuestra tus conocimientos.",Apasoft Training,"9,5 horas en total",45,Principiante,"15,99 €","19,99 €"
"Master:Playwright con Python, pruebas automatizada (Español)
Automatiza tus Pruebas con Playwright y Python atravez de multiples Ejemplos (EN ESPAÑOL).","KNOWMENT Formación, consultoría y coaching","2,5 horas en total",29,Principiante,"15,99 €","19,99 €"
"Unity 3D + ChatOpenAI creando un Juego de Pelea.
Desarrolla un juego 3d en tiempo record",Francisco Javier Arce Anguiano,"2,5 horas en total",23,Todos los niveles,"15,99 €","19,99 €"
"Como hacer Videojuegos de terror con Godot 4 | Curso Español
Crea tus primeros juegos en 3D usando Godot Engine",Pixel Pro Web,7 horas en total,86,Todos los niveles,"19,99 €","24,99 €"
